GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
shop-api,io.github.filipchyla.shopapi.cart.exception,InsufficientStockException,0,4,0,0,0,2,0,1,0,1
shop-api,io.github.filipchyla.shopapi.cart.exception,CartItemNotFoundException,0,4,0,0,0,2,0,1,0,1
shop-api,io.github.filipchyla.shopapi.cart.exception,CartItemLimitExceededException,0,4,0,0,0,2,0,1,0,1
shop-api,io.github.filipchyla.shopapi.cart.domain,Cart,0,112,0,6,0,29,0,13,0,10
shop-api,io.github.filipchyla.shopapi.cart.domain,GuestCart,0,95,0,8,0,19,0,13,0,9
shop-api,io.github.filipchyla.shopapi.product.category.controller,CategoryAdminController,0,29,0,0,0,7,0,3,0,3
shop-api,io.github.filipchyla.shopapi.product.category.controller,CategoryController,0,5,0,0,0,1,0,1,0,1
shop-api,io.github.filipchyla.shopapi.security,UserPrincipal,0,24,0,0,0,5,0,5,0,5
shop-api,io.github.filipchyla.shopapi.security,CustomUserDetailsService,0,20,0,0,0,3,0,2,0,2
shop-api,io.github.filipchyla.shopapi.exception,GlobalExceptionHandler,30,117,0,0,10,37,2,9,2,9
shop-api,io.github.filipchyla.shopapi.product,ProductService,13,198,3,11,3,38,4,16,1,12
shop-api,io.github.filipchyla.shopapi.product,ProductSpecification,3,75,0,6,1,12,1,12,1,9
shop-api,io.github.filipchyla.shopapi.role,Role,0,11,0,0,0,2,0,2,0,2
shop-api,io.github.filipchyla.shopapi.role,RoleName,0,15,0,0,0,3,0,1,0,1
shop-api,io.github.filipchyla.shopapi.role,RoleNotFoundException,4,0,0,0,2,0,1,0,1,0
shop-api,io.github.filipchyla.shopapi.cart,CartFacade,0,159,0,8,0,21,0,19,0,15
shop-api,io.github.filipchyla.shopapi.cart,CartLimitPolicy,0,66,0,8,0,19,0,10,0,6
shop-api,io.github.filipchyla.shopapi.cart,CartController,0,104,0,2,0,20,0,7,0,6
shop-api,io.github.filipchyla.shopapi.cart,AddItemOutcome.Added,0,6,0,0,0,1,0,1,0,1
shop-api,io.github.filipchyla.shopapi.cart,AddItemOutcome.Rejected,0,6,0,0,0,1,0,1,0,1
shop-api,io.github.filipchyla.shopapi.cart,CartTokenCookieFactory,2,50,1,1,0,20,1,3,0,3
shop-api,io.github.filipchyla.shopapi.cart,PriceCalculator,0,23,0,2,0,5,0,4,0,3
shop-api,io.github.filipchyla.shopapi.auth.exception,IncorrectPasswordException,0,4,0,0,0,2,0,1,0,1
shop-api,io.github.filipchyla.shopapi.auth.exception,RefreshTokenReuseException,0,4,0,0,0,2,0,1,0,1
shop-api,io.github.filipchyla.shopapi.auth.exception,EmailTakenException,0,4,0,0,0,2,0,1,0,1
shop-api,io.github.filipchyla.shopapi.auth.exception,UserDisabledException,0,4,0,0,0,2,0,1,0,1
shop-api,io.github.filipchyla.shopapi.auth.exception,InvalidRefreshTokenException,0,4,0,0,0,2,0,1,0,1
shop-api,io.github.filipchyla.shopapi.product.exception,InvalidStockQuantityException,0,4,0,0,0,2,0,1,0,1
shop-api,io.github.filipchyla.shopapi.product.exception,InvalidFilteringArgumentException,0,4,0,0,0,2,0,1,0,1
shop-api,io.github.filipchyla.shopapi.product.exception,ProductNotFoundException,0,4,0,0,0,2,0,1,0,1
shop-api,io.github.filipchyla.shopapi.auth,AuthenticationFacade,0,124,0,4,0,25,0,9,0,7
